AveragePressure;AverageRelativeHumidity;DailyPrecipitation;MaximumTemperature;MinimumTemperature;WindSpeed
29.87;66;0;80;63;5.8
29.86;78;0;75;60;6
29.73;62;0.04;78;62;10.3
29.98;56;0;84;58;5.4
30.02;59;0.02;85;61;8.8
29.94;71;0;86;63;7.6
29.83;68;0;90;66;10.2
29.78;72;0.1;87;66;6.8
29.98;63;0;81;61;6.3
29.99;74;5;84;60;7.4
29.96;79;0.3;85;66;6.9
30.02;91;1.81;73;68;5.7
30.09;92;1.14;71;68;5.2
30.13;84;5;81;68;8.5
30.18;81;0;81;70;11.5
30.02;88;0.21;74;69;12.5
29.95;89;5;76;69;7.9
29.85;64;0.1;81;67;10.5
30.02;61;0;83;62;11.2
29.89;64;0;85;68;14
29.93;65;5;85;71;8.4
29.83;76;0.01;88;69;7.1
29.83;81;0.19;79;70;5.5
29.93;74;0.32;76;64;4.9
30.11;64;0;81;59;5.9
30.1;69;0;82;65;4.9
29.96;66;0;85;65;9.3
30;71;5;83;66;10.9
30.03;79;0;85;68;10.2
29.98;87;0.3;80;71;6.9
29.82;84;0.27;81;65;8.7
29.91;69;0;89;63;7.9
29.87;77;0;82;66;6.5
29.87;78;0;87;69;5.2
29.86;72;0;92;70;5.8
29.88;72;0.3;96;70;6.9
30.08;69;0.33;84;68;8.1
30.05;84;5;81;65;9.9
29.82;78;0;85;71;10.1
29.74;87;0.15;80;73;10.4
29.73;75;0.01;79;69;8
29.9;62;0;83;63;7.3
29.98;73;0;84;67;9.8
29.91;75;0;85;68;8.3
29.91;75;0;89;70;10.2
29.82;74;0.17;90;73;10.6
29.75;65;0;91;70;10.6
29.7;67;0;90;69;8.1
29.8;65;0;90;67;6.6
29.77;63;0;97;75;9.3
29.71;63;0.14;100;76;9.1
29.67;65;0.03;98;71;9
29.76;79;0.15;82;69;5.3
29.97;63;0.04;88;69;6.5
30.15;61;0;83;63;7.4
29.97;75;0.02;87;71;10.4
29.89;50;0;87;68;10.1
30.01;50;0;83;63;8.1
29.79;63;0.48;88;65;10.8
29.83;50;0;79;61;9.9
29.93;44;0;77;57;8.4
29.96;48;0;79;54;7.6
29.88;59;0;84;59;11.7
29.8;80;0.47;78;67;8.2
30.02;58;0;85;65;6.3
30.16;63;0;84;65;6.1
30.14;74;0;81;64;5.8
29.96;73;0.08;84;60;7.2
29.72;81;0.67;87;68;8.2
29.86;70;0;76;64;6.8
29.94;60;0;84;61;6.4
29.89;63;0;85;63;4.8
29.93;67;5;78;62;5.1
30;87;0.52;70;61;6.8
30.15;70;0.01;74;60;6.9
30.13;77;0.22;66;57;6.9
29.88;91;0.83;68;61;7.4
29.8;88;0.08;64;61;10.6
29.88;75;5;77;62;6.9
30.11;59;0;74;55;6.7
30.23;71;0;72;56;9.1
30.21;74;0.04;70;61;14.1
30.01;92;0.46;71;61;7.8
29.94;69;0;75;58;8.5
29.95;76;0.27;74;57;5.1
29.88;75;0.02;75;61;4.7
29.98;74;0;79;58;3.8
29.99;73;0;79;58;5.8
29.94;71;0;82;61;6.9
30.12;61;0;71;50;10
30.27;57;0;68;50;11.5
30.17;54;0;70;47;8.3
30.04;69;0;68;48;6.2
30;85;0.31;70;60;4.7
30;90;0.72;70;62;9.1
30;73;0;78;58;3.6
29.88;78;0;80;58;4.2
29.82;82;0;81;61;6.5
29.68;82;0.61;79;62;9.2
29.6;60;0.11;73;56;9.4
29.94;56;0;67;50;8.8
30.11;62;0;69;46;7.7
29.82;83;5;72;56;8.4
29.59;80;0.04;79;63;10.2
29.7;69;0;71;50;6.6
29.88;62;0;70;51;7.4
29.97;73;0;70;45;6.9
29.86;75;5;71;50;5.5
29.68;79;0.6;68;45;7.7
30.08;67;0;64;41;5.9
29.96;82;0.66;62;55;8.2
29.99;69;5;69;50;7.6
30.08;74;5;75;47;6.2
29.97;81;5;78;57;7.9
30.03;63;0.18;69;50;11.4
30.34;61;0;59;48;13.2
30.33;69;0;64;47;10.4
30.22;70;0;67;39;4.4
30.02;73;0;78;44;7.4
29.97;69;0;74;52;7.4
29.9;83;0.96;61;51;8.5
29.49;81;0.26;73;54;9.2
29.78;49;5;58;38;8.1
29.76;54;0;60;36;8.5
29.97;54;5;59;37;7.2
30.22;61;0;61;36;3.5
30.11;79;0.13;58;39;5.9
29.76;79;0.25;71;54;8.2
29.74;75;5;67;49;5.2
29.4;83;0.87;66;44;12.4
29.78;50;0;57;40;12.7
29.83;63;0.1;57;35;6
29.56;69;0.06;58;42;8.1
29.55;55;0;53;43;10.6
29.71;56;0;56;41;11.7
29.94;54;0;54;39;10.3
30.04;63;0.03;52;35;6.2
29.3;84;3.62;65;47;18.3
29.44;39;0;53;44;21.6
29.82;42;0;60;41;11.3
29.88;64;0;70;38;8.1
29.87;81;0.05;65;49;5.1
29.85;74;0.16;53;38;7.2
30.14;50;0;49;34;8.5
30.37;50;0;50;31;5.4
30.44;60;0;49;27;3.2
30.34;57;0;59;29;6
30.16;79;0.11;59;34;4.3
29.72;94;1.74;60;53;5.8
29.39;78;0.05;67;56;7.9
29.79;57;0;64;43;7.2
29.92;80;0;63;38;5.4
29.93;92;0.24;63;51;6.6
29.96;91;0.08;59;51;14.1
29.71;86;0.43;63;53;8.6
29.94;85;5;62;56;5.1
29.85;90;0.29;67;57;9.2
29.64;76;0.98;65;49;13.4
29.84;60;0;53;40;5.9
29.83;66;0;47;43;7.5
30;61;5;46;33;7.3
30.42;61;0;45;31;6.3
30.34;71;0;47;33;14.3
30;88;3.31;48;43;18.5
30;49;0.25;58;40;11.3
30.32;71;0;50;34;4.7
30.26;78;0;58;30;4.6
30.19;77;0;65;38;3.4
30.32;86;5;50;42;8.5
30.31;89;5;53;41;4
30.1;80;5;66;53;11.4
29.71;87;0.4;67;61;17.8
29.95;47;0;62;36;12.5
30.29;60;0;46;30;5.5
29.95;62;0.24;41;28;8.8
30.15;63;0.01;34;21;5.8
30.2;64;0;49;20;9.2
29.81;54;0;57;34;9.8
29.96;45;5;33;19;16.4
30.2;48;0;40;22;9.2
30.15;39;0;53;34;10.7
30.3;53;0;52;31;5.3
30.52;65;0;47;35;6.1
30.15;83;0.07;54;43;7.1
29.93;80;0;58;36;6.5
29.7;84;0;55;41;8.9
29.91;59;0;53;37;10.2
30;61;0;56;31;9.5
29.95;56;5;54;41;7.9
30.14;48;0;45;32;8.2
30.29;62;0;44;26;7.2
30.16;45;0;52;35;9.1
30.32;67;0.06;44;25;3.5
29.77;86;0.93;59;43;10
29.88;62;0;51;33;9.2
30.03;65;0.26;46;29;5.1
29.38;86;0.4;52;42;8.7
29.65;58;5;44;32;10.9
30.25;61;0;48;26;8.1
30.55;48;0;39;25;8.2
30.36;60;0.03;42;25;5.4
30.33;59;0;42;28;5.3
29.82;88;1.42;56;31;6.8
29.93;53;5;48;35;11.3
30.2;58;0;51;26;9.9
30.05;61;0;57;38;8.8
29.87;83;0.05;63;45;10.2
29.64;79;0.09;64;54;13.1
30.14;54;5;54;42;8.7
29.57;79;1.1;57;40;9.7
29.7;53;0;45;31;9.7
29.96;48;0;38;25;12
30.47;51;0;37;22;8.4
30.25;58;0;51;36;10.8
30.15;81;0.09;53;40;8.2
30.18;91;0.12;41;35;7.5
29.88;92;0.25;44;36;5.4
29.82;59;0.01;45;22;11.9
30.52;38;0;24;13;10.4
30.34;71;0.28;46;13;5.4
29.65;68;0.03;44;34;11.5
29.76;42;0;34;17;17.8
30.19;36;0;27;14;10
29.88;58;0.03;27;22;5.4
29.75;61;0.02;35;23;6.9
29.84;56;0;42;21;6.2
29.74;43;5;33;12;9.8
29.78;40;0;15;3;15
29.74;48;5;28;7;2.6
29.57;65;0.02;42;27;4.9
29.71;43;0;30;17;12.2
29.87;49;0;33;13;7.3
29.87;52;5;34;21;7.5
29.96;55;0;38;21;5.8
29.62;82;0.2;38;29;4.4
29.72;47;0.01;36;21;12.7
29.89;32;0;26;16;12.1
29.91;32;0;20;10;15.3
29.96;42;0;28;11;11.6
29.82;41;0;25;12;10.8
29.75;42;0;29;14;14
29.74;44;0;29;17;14
29.88;52;0;35;13;6.9
30.08;47;0;34;16;7.9
30.07;39;0;40;20;9.6
30.25;27;5;28;14;9.4
29.44;83;1.63;38;19;16.3
29.56;42;0;24;14;19.9
29.56;43;0;31;14;17.4
29.68;42;0;36;21;11
29.56;51;0;36;21;9.9
29.84;32;0;24;11;15
29.7;50;0;51;21;8
29.69;59;0.04;48;32;6.8
29.61;78;0.16;42;25;4.3
29.57;62;0.01;35;20;15.9
29.86;46;0;38;16;13.9
29.96;45;0;45;23;6.1
29.75;82;0.21;36;29;7
29.85;83;0.07;38;29;2.1
29.95;60;5;46;31;6.1
30.08;52;5;42;25;5.9
29.58;94;2.87;53;27;9.5
29.59;70;5;57;26;6.2
29.57;50;5;42;31;12.8
29.61;47;5;40;22;15.5
30.06;30;0;22;8;18.6
30.19;41;0;25;7;8.6
30.09;38;5;30;11;14.4
30.41;40;0;30;7;8
30.21;74;0;51;21;10.3
30.06;59;0.19;53;35;10.4
30.16;46;0;54;30;7
30.08;61;0;60;33;8.3
29.91;68;5;67;40;10.4
29.91;79;0.12;62;34;10
30.09;81;0.63;35;28;19.7
29.47;82;1.67;37;28;12.9
29.78;45;5;37;24;16.8
30.17;56;0.17;41;27;12.1
30.18;45;0.02;47;30;15
30.63;45;0;39;22;9.3
30.16;81;0.03;54;36;14.3
30.01;49;0;60;35;9.6
30.23;61;0.23;52;33;7.6
30.34;69;0.03;50;33;8.1
30.22;77;0.45;48;32;9.2
29.88;72;0.07;70;45;6.9
30.07;35;0;60;41;13.8
30.2;19;0;54;34;15.4
30.14;22;0;64;33;10.3
30.14;38;0;53;35;7.5
30.15;58;0.22;55;31;6.4
29.94;88;0.14;44;39;8.5
30.08;79;0.01;48;36;10.2
29.85;84;1.26;41;36;11.2
29.52;62;0.06;48;32;13.1
29.66;41;0;42;28;10.9
29.59;44;0;43;27;6.7
29.7;43;0;44;27;12.6
29.8;42;0;52;32;13.4
29.92;42;0;49;32;9.3
30.07;50;0;49;30;7.4
29.71;81;1.34;42;37;10.8
29.65;61;5;50;37;12.8
29.87;48;0;56;38;10.8
29.68;87;2.9;51;39;13.5
28.98;85;0.52;54;42;20.1
29.34;88;0.08;43;39;20.6
29.7;83;5;45;40;17.5
29.84;53;5;56;40;13.8
29.98;36;0;64;34;11
30;36;0;78;40;4.4
30.1;48;0;70;46;7.5
29.92;51;0;79;43;11.1
29.8;48;0;76;49;9.4
30;57;0.22;63;44;5.3
30.09;65;5;59;40;8.1
29.88;89;1.16;54;47;4.5
29.68;87;5;63;47;7.3
29.68;72;5;65;49;5.8
29.66;53;0.01;75;47;12
29.85;35;5;70;48;9.7
29.83;55;0.23;67;48;7.8
30.06;26;0;70;44;8.5
30.08;27;0;68;45;9.8
30.05;39;0;68;38;7.7
30.31;56;5;55;41;13.2
30.35;50;0;62;34;6.1
30.14;52;0;74;40;10.1
30;64;0;83;55;10.6
29.92;75;5;80;60;9.7
29.82;83;0.04;68;57;7.2
29.88;62;0.01;67;51;9.1
30.02;40;0.02;68;51;9.9
30.13;30;0;73;41;11
29.81;56;5;77;50;10.4
29.64;71;0.35;83;49;10.5
30.02;77;5;59;45;10
30.05;87;1.45;45;42;16.5
29.81;86;0.14;54;43;5.9
29.65;78;0.14;74;50;7.4
29.96;59;0.01;67;48;8.6
30.24;55;0;71;44;6.9
30.37;66;0;71;46;8.7
30.26;58;0;81;51;8.4
30.04;42;0;93;66;8.3
29.96;42;0;86;65;8.6
30.07;58;0;75;58;6.4
29.98;57;5;84;60;8
30.08;47;0;79;57;7.9
30.08;49;0;83;54;6.6
30.04;68;0.03;73;58;8.2
29.93;74;0.13;88;57;7.2
29.83;69;0;86;64;7.5
29.8;83;0.17;73;55;8.2
29.42;92;1.58;66;55;10
29.45;77;0;76;60;9.1
29.69;55;5;71;52;10
29.99;54;0;72;47;6.8
29.89;80;5;73;56;7.5
29.87;90;0.37;64;59;5
29.95;66;0;74;55;9.2
29.91;61;5;82;65;9.7
29.93;70;0.11;76;62;13.2
30.03;74;5;62;54;14.4
30.04;71;0.01;64;53;12.7
30;65;0;74;52;9
29.91;69;0;76;51;7.2
29.8;65;5;87;59;7
29.94;59;0;80;63;8.8
29.95;58;0;81;62;8.1
29.77;72;0.07;77;65;8.6
29.76;52;5;81;61;10.1
29.65;59;0.02;74;58;12.5
29.77;47;0;73;54;11.3
29.93;48;0;80;51;7.4
30.09;57;0;88;62;9.7
30.11;63;0;95;64;7.9
29.97;63;0;95;72;10.7
29.79;67;0.75;92;72;7.7
29.88;65;0;74;61;9.3
29.88;55;0.02;81;61;7.1
29.93;53;0.15;75;59;9.5
30.04;52;5;76;54;8.6
30.1;59;0;79;54;7
30.08;72;0.19;77;57;10.6
29.83;82;0.59;81;64;10.8
29.73;71;0.07;85;66;7
29.77;60;0;84;63;7.7
29.73;59;5;91;65;8.9
29.83;79;0;81;66;7.6
29.88;78;5;86;66;7.4
29.77;86;5;81;72;8.4
29.72;54;5;84;65;8.7
29.83;58;0;87;59;8.9
29.86;62;0;86;63;8.7
29.8;70;0.23;88;67;11.6
29.87;63;0.01;85;67;4.7
29.96;63;0;86;63;4.8
29.89;88;0.72;73;65;5.7
29.67;80;0.29;83;69;7.2
29.63;65;5;84;65;10.5
29.91;62;0;81;62;7.8
30.1;53;0;82;64;10.7
30.05;87;0.13;71;63;11.7
30.03;65;0;84;64;8.4
30.1;58;0;87;65;6.9
30.06;68;0;85;62;8
29.91;75;0;87;70;8.1
29.82;79;0.07;86;73;8.2
29.85;78;5;85;72;4.1
29.87;78;1.51;84;69;4.5
29.85;76;0;87;69;5.1
29.87;61;0;89;68;5.8
29.93;63;0;93;67;6.5
29.9;69;0;93;71;8.4
29.85;55;0;92;73;8.2
29.94;52;0;84;67;9.2
29.81;79;0.02;82;66;9.6
29.81;80;5;86;71;6.3
29.65;72;0.05;91;72;10.2
29.86;53;0;80;66;8.8
29.87;77;0.85;67;54;8.2
29.87;58;0;83;54;6.4
29.93;62;0;87;64;5
29.75;72;0.07;87;67;6.8
29.84;52;0;81;57;7.6
29.84;71;0;83;58;9.1
29.83;72;0;85;67;7.7
29.76;65;0.03;80;64;7
29.92;54;0.05;76;57;12.6
30.09;58;0;75;51;5.1
30.12;62;0.01;75;56;6.9
30.16;71;5;69;56;6.7
30.15;62;0;75;59;7.6
30.1;76;0;76;63;6.2
29.95;72;0;88;67;9.9
29.8;77;0;92;70;8.7
29.84;68;5;87;70;6.2
30.06;59;0;84;65;7.6
30.1;62;0;85;61;5.2
30.04;59;0;83;58;6.5
29.92;63;0;85;60;6.1
29.87;63;0;86;61;7.5
30.03;44;0;81;62;10.6
30.17;56;0;77;55;7.8
29.95;65;0;84;58;11.9
29.89;58;0;85;61;8
30.07;52;0;80;52;6.1
30.23;68;0;74;56;8.5
30.1;68;0;89;65;10.2
29.99;65;0;92;69;10.6
29.99;77;5;80;62;7.3
29.93;85;0.34;72;61;5.9
29.65;89;1.77;74;63;7.4
29.81;58;0;76;56;10.2
30.12;63;0;74;52;4.3
30.07;70;0;74;53;7.5
29.83;73;0.38;68;53;7.3
30.2;59;0;67;48;5.7
30.34;65;0;68;47;6.9
30.33;63;0;70;45;7.4
30.22;79;0;69;48;4.6
30.09;70;0;81;57;6.3
30.09;75;0;80;58;5.1
30.03;78;0;79;62;7.5
30.02;46;0;80;62;8.1
30.11;49;0;81;53;6.7
29.99;59;0;86;57;9.6
29.91;67;0;89;67;9.2
29.92;81;0.06;81;65;7.8
29.73;65;5;80;61;8.4
30.08;50;0;76;54;10.2
30.42;63;0;70;51;6.2
30.44;68;0;66;47;3.3
30.3;76;0;73;47;4.9
30.11;87;5;72;64;5.8
30.12;78;0;82;64;6.1
30.19;79;0;83;61;5.1
30.05;74;0;84;63;7.1
29.97;73;5;73;53;7.1
29.82;79;0.01;75;53;5.7
29.79;68;0.24;65;54;9.5
29.74;86;0.12;60;55;6.5
29.58;89;0.16;63;58;9.7
29.46;72;0.01;63;42;9.8
29.83;60;0;62;38;6.9
29.93;56;0;63;43;8.8
30.04;64;0;65;39;7.5
30.07;60;0;66;45;6.2
30.03;72;0;70;40;4.5
29.89;79;0;77;62;6
29.74;90;0.72;71;64;12
29.62;71;0.13;73;53;8.2
30.01;56;0;75;51;8
30.09;63;0;81;53;9.1
29.81;74;0;77;62;16.1
29.82;80;0.03;72;54;7.2
30.24;75;0.07;57;42;9.1
30.37;72;0.03;62;41;7.7
29.98;86;0.29;71;54;9.4
30.15;45;0;59;41;10.6
30.34;47;0;52;34;5.3
30.28;56;0;63;36;5.7
30.22;74;0;66;39;7.8
29.98;61;0;69;47;11.7
30.27;55;0;54;41;10.2
29.7;76;0.74;49;44;20.3
29.73;45;0;58;40;6.6
29.92;61;0;56;36;5.1
29.69;78;0.65;57;37;9.5
29.92;54;0;51;35;10.3
30.11;59;0;46;27;4.5
30.09;62;0;48;33;7.3
30.01;58;5;43;32;13
30.16;50;0;46;27;6.5
30.15;58;0.03;48;26;3.9
29.86;77;0.22;60;36;7.5
29.84;80;5;59;32;7.9
29.39;82;0.39;65;43;11.9
29.43;56;0.08;49;33;14.7
29.94;52;0;44;31;8.2
30.3;49;0;46;32;6.9
30.4;61;0;44;32;10.9
30.07;84;0.09;44;26;2.4
29.98;88;0;52;35;2.8
29.68;78;0.02;67;41;9.9
29.93;49;0;41;28;12
30.32;43;0;36;21;5.8
30.22;50;0;51;26;7.2
29.96;88;0.4;61;38;7.6
29.73;62;0.27;63;35;12.6
30.27;49;0;46;34;7.8
30.01;66;5;52;36;9.5
30.05;44;0;42;32;9.8
30.27;33;0;40;20;15.2
30.23;45;0.02;28;20;5.1
29.47;82;0.63;39;27;10.8
29.4;52;5;32;23;15.7
29.68;60;0;33;22;8.1
30.1;51;0;33;20;8.1
30.23;75;0.07;38;19;2.9
30.17;67;0;44;29;7.9
30.35;63;0.25;36;28;3.5
30.19;88;0.11;34;27;6.4
30.15;79;0.1;45;22;4.3
29.86;63;5;52;31;11.7
30.11;68;0.8;32;23;8.1
30;71;0.01;42;26;6.2
30.35;44;0;33;22;9.8
29.5;82;0.97;39;22;14.9
29.64;49;5;36;20;16.2
30.22;64;0;35;11;4.1
30.13;81;0.15;38;19;3.5
30.06;83;0.03;36;31;10.1
30.39;79;5;31;27;12
30.5;75;5;38;28;6.6
30.18;86;0.66;57;33;10.3
29.78;47;0.01;57;35;12.3
30.1;62;0;43;27;7.7
30.12;72;0.01;40;23;5.8
29.94;86;0.06;41;35;10.2
30.19;71;0;48;33;5.2
29.88;78;0.39;53;33;8.1
30.04;69;0.09;43;27;5.1
29.8;70;0.27;44;26;10.7
29.85;86;0.27;44;23;6.2
29.69;63;5;34;13;12.3
30.36;45;0;17;8;13
30.42;46;0;36;7;8.6
30.26;50;5;42;21;6
30.14;68;0;49;36;5.8
30.13;78;0;59;34;5.1
30.04;81;0;66;39;7.4
29.78;66;0.01;59;39;14.4
30.01;48;5;49;34;7.5
29.78;86;1.28;58;37;8.4
29.92;66;0;52;33;6.1
30.1;63;0;48;29;8
29.75;81;0.58;39;30;10.9
29.68;73;5;39;26;5.8
30.01;49;0;35;24;11
30.27;66;0.04;37;19;3.3
29.77;70;0.53;49;33;8.1
29.93;43;0;37;28;6.8
29.98;41;5;34;17;11.4
30.54;41;0;26;14;8.4
30.12;67;0.05;40;16;9.2
29.88;44;0;39;26;8.5
29.96;57;5;33;18;4.8
30.13;45;0;32;16;10
30.17;52;0;33;22;5.1
29.98;71;0.01;33;24;15.4
29.85;47;0;44;23;14.7
29.77;55;5;45;24;4.9
29.58;63;0.16;49;30;12.5
30.36;42;0;38;24;5.4
30.3;82;1.22;53;24;9.8
29.86;66;0;49;33;11.7
30.12;61;0;48;30;5.6
30.27;64;5;39;28;2.1
29.93;87;0.2;52;37;6.1
29.6;90;0.3;48;38;5.3
29.65;84;0.26;38;31;10.2
29.9;82;0.03;34;29;6.1
29.96;81;0.12;38;22;5
29.57;64;0.09;47;16;14.1
29.95;40;0;27;11;18.5
30.27;57;0.21;30;12;5.2
29.71;90;2.74;54;26;11.7
29.78;53;5;41;28;12.1
29.95;53;0;49;26;12.3
30.19;37;0;33;21;8.1
30.21;66;0.09;47;18;9.7
29.56;84;0.58;62;41;20.8
29.65;47;5;45;28;13.5
29.95;39;0;33;22;10.1
30.22;36;0;33;19;8.4
30.09;78;0.52;33;23;8.1
29.83;72;5;34;26;5.7
29.98;56;0;39;22;6.8
29.83;56;0;47;21;5.6
29.66;76;0.67;45;27;5.1
29.27;72;5;42;24;10.1
29.85;49;5;30;16;12.1
30.4;53;0.01;28;12;6.9
29.89;77;0.45;42;27;10.6
30.05;42;0;43;27;12.2
30.13;59;0;50;23;10.2
29.9;79;0.42;61;43;13.6
29.6;72;0.32;61;38;16.1
30.12;61;0;47;29;6.7
30.08;74;0.48;52;28;6.7
29.53;85;2.8;62;40;13.9
29.76;39;0;47;29;18.5
30.2;39;0;41;24;9.6
30.03;48;0;45;27;7.2
29.61;70;0.17;47;32;9.7
29.88;48;5;41;30;8.5
29.78;64;0;53;32;4.4
29.64;80;0.44;42;36;13.5
29.85;65;5;46;36;9.7
30.24;33;0;47;30;14.5
30.35;36;0;44;27;6.5
29.9;85;0.66;49;35;8.5
29.36;66;0.34;56;35;15.9
29.72;32;0;42;31;20.8
29.8;25;0;49;29;10.7
29.99;26;0;47;28;7.3
30.16;41;0;50;24;4.6
30.18;50;0;42;30;12.2
29.93;45;5;60;35;13
29.98;51;5;51;30;5.5
29.83;82;0.16;43;34;9.4
30.22;41;0;43;29;12.9
30.59;39;0;46;24;6.6
30.47;80;0.23;54;25;10.4
29.85;84;0.21;60;53;18.9
30.06;33;0;57;34;16.3
30.38;34;0;52;30;9.9
29.91;87;1.1;49;37;6.2
29.85;76;0.08;55;44;6.1
30.21;77;5;44;39;14.5
30.3;67;5;49;37;15.3
30.3;62;0;58;34;9.3
30.23;79;5;51;33;6.4
30.01;48;0.06;74;46;8.9
29.96;59;0.02;53;43;6.1
29.49;76;0.3;72;47;8.9
29.56;52;5;55;39;10
29.83;39;0;55;35;8
30.05;34;0;60;37;8.1
30.18;46;0;64;32;6.1
30.08;33;0;71;34;7.8
29.91;31;0;78;43;5.9
30;50;0;75;46;5
30.17;61;0;66;43;7.5
